iter	Passed	Remaining
611	1357	860
612	1359	858
613	1362	856
614	1364	854
615	1366	851
616	1368	849
617	1369	846
618	1371	844
619	1373	841
620	1375	839
621	1377	837
622	1380	835
623	1382	832
624	1383	830
625	1385	827
626	1386	825
627	1388	822
628	1390	820
629	1392	817
630	1394	815
631	1396	812
632	1397	810
633	1399	807
634	1401	805
635	1403	803
636	1404	800
637	1408	798
638	1410	796
639	1411	794
640	1413	791
641	1416	789
642	1417	787
643	1419	784
644	1422	783
645	1424	780
646	1426	778
647	1428	776
648	1430	773
649	1432	771
650	1434	769
651	1437	767
652	1440	765
653	1442	763
654	1444	760
655	1446	758
656	1448	756
657	1450	753
658	1453	752
659	1455	749
660	1457	747
661	1459	745
662	1460	742
663	1462	740
664	1464	737
665	1467	736
666	1469	733
667	1472	731
668	1473	729
669	1475	726
670	1477	724
671	1479	722
672	1494	726
673	1496	723
674	1499	722
675	1501	719
676	1503	717
677	1505	715
678	1507	712
679	1509	710
680	1510	707
681	1514	706
682	1517	704
683	1519	701
684	1520	699
685	1522	697
686	1525	694
687	1526	692
688	1529	690
689	1531	687
690	1533	685
691	1535	683
692	1537	681
693	1539	678
694	1541	676
695	1543	674
696	1546	672
697	1547	669
698	1549	667
699	1551	665
700	1553	662
701	1555	660
702	1557	657
703	1560	656
704	1562	653
705	1564	651
706	1566	649
707	1568	646
708	1570	644
709	1572	642
710	1575	640
711	1577	638
712	1579	635
713	1581	633
714	1583	631
715	1585	628
716	1587	626
717	1590	624
718	1592	622
719	1593	619
720	1595	617
721	1597	615
722	1599	612
723	1601	610
724	1602	608
725	1605	605
726	1607	603
727	1609	601
728	1611	598
729	1612	596
730	1614	594
731	1616	591
732	1618	589
733	1620	587
734	1622	585
735	1624	582
736	1626	580
737	1628	578
738	1630	575
739	1632	573
740	1636	572
741	1638	569
742	1640	567
743	1642	565
744	1645	563
745	1647	560
746	1649	558
747	1652	556
748	1654	554
749	1656	552
750	1658	549
751	1660	547
752	1662	545
753	1663	542
754	1667	541
755	1669	538
756	1671	536
757	1673	534
758	1675	531
759	1676	529
760	1678	527
761	1681	525
762	1684	523
763	1686	521
764	1688	518
765	1690	516
766	1692	514
767	1694	511
768	1696	509
769	1699	507
770	1701	505
771	1703	502
772	1704	500
773	1706	498
774	1708	496
